"597","1738","date","other"
"9","3","2019-01-17","0"
"21","6","2019-01-31","0"
"21","6","2019-02-14","0"
"21","6","2019-02-28","0"
"20","6","2019-03-14","0"
"20","6","2019-03-28","0"
"21","6","2019-04-11","0"
"21","6","2019-04-25","0"
"8","2","2019-05-09","0"
"11","3","2019-05-23","0"
"23","6","2019-06-06","0"
"18","5","2019-06-20","0"
"23","6","2019-07-04","0"
"23","6","2019-07-18","0"
"23","6","2019-08-01","0"
"21","6","2019-08-15","0"
"23","6","2019-08-29","0"
"20","6","2019-09-12","0"
"21","6","2019-09-26","0"
"24","7","2019-10-10","0"
"21","6","2019-10-24","0"
"21","6","2019-11-07","0"
"20","6","2019-11-21","0"
"21","6","2019-12-05","0"
"23","6","2019-12-19","0"
"21","6","2020-01-02","0"
"34","7","2020-01-16","0"
"33","6","2020-01-30","0"
"38","7","2020-02-13","0"
"29","6","2020-02-27","0"
"33","6","2020-03-12","0"
"33","6","2020-03-26","0"
"31","6","2020-04-09","0"
"27","5","2020-04-23","0"
"31","6","2020-05-07","0"
"33","6","2020-05-21","0"
"31","5","2020-06-04","0"
"33","5","2020-06-18","0"
"29","5","2020-07-02","0"
"31","5","2020-07-16","0"
"33","5","2020-07-30","0"
"29","5","2020-08-13","0"
"31","5","2020-08-27","0"
"40","6","2020-09-10","0"
"35","6","2020-09-24","0"
"38","6","2020-10-08","0"
"31","5","2020-10-22","0"
"40","6","2020-11-05","0"
"35","6","2020-11-19","0"
"33","5","2020-12-03","0"
"35","6","2020-12-17","0"
"44","4","2020-12-31","0"
"33","","2021-01-14","0"
"35","","2021-01-28","0"
"18","","2021-02-11","0"
"35","3","2021-02-25","0"
"29","5","2021-03-11","0"
"31","5","2021-03-25","0"
"31","5","2021-04-08","0"
"31","5","2021-04-22","0"
"31","5","2021-05-06","0"
