"122","5577","date","other"
"25","6","2019-12-04","0"
"34","8","2019-12-18","0"
"27","6","2020-01-01","0"
"30","7","2020-01-15","0"
"32","7","2020-01-29","0"
"32","7","2020-02-12","0"
"30","7","2020-02-26","0"
"34","8","2020-03-11","0"
"32","7","2020-03-25","0"
"39","9","2020-04-08","0"
"32","7","2020-04-22","0"
"32","7","2020-05-06","0"
"34","8","2020-05-20","0"
"34","8","2020-06-03","0"
"34","8","2020-06-17","0"
"34","8","2020-07-01","0"
"30","7","2020-07-15","0"
"37","8","2020-07-29","0"
"23","5","2020-08-12","0"
"2","1","2021-04-21","0"
"32","7","2021-05-05","0"
"34","8","2021-05-19","0"
