"492","597","date","other"
"17","17","2020-05-07","0"
"20","20","2020-05-21","0"
"21","22","2020-06-04","0"
"23","24","2020-06-18","0"
"20","20","2020-07-02","0"
"20","20","2020-07-16","0"
"21","22","2020-07-30","0"
"14","14","2020-08-13","0"
"20","20","2020-08-27","0"
"27","28","2020-09-10","0"
"24","25","2020-09-24","0"
"23","24","2020-10-08","0"
"26","27","2020-10-22","0"
"24","25","2020-11-05","0"
"27","28","2020-11-19","0"
"21","22","2020-12-03","0"
"36","38","2020-12-17","0"
"23","24","2020-12-31","0"
"27","28","2021-01-14","0"
"23","24","2021-01-28","0"
"14","14","2021-02-11","0"
"23","24","2021-02-25","0"
"21","22","2021-03-11","0"
"21","22","2021-03-25","0"
"23","24","2021-04-08","0"
"21","22","2021-04-22","0"
"21","22","2021-05-06","0"
