"9","19","21","122","492","597","599","699","701","4085","5577","6650","12095","date","other"
"7","6","7","6","6","6","5","5","5","2","3","0","","2017-03-03","0"
"21","20","21","19","20","20","18","17","18","8","10","5","","2017-03-17","0"
"23","21","23","20","21","21","19","18","18","33","11","5","","2017-03-31","0"
"15","21","23","20","21","14","12","12","12","33","12","5","","2017-04-14","0"
"","21","23","20","21","","","","","33","12","5","","2017-04-28","0"
"","21","23","20","21","","","","","33","12","5","","2017-05-12","0"
"","21","23","21","22","","","","","34","13","5","","2017-05-26","0"
"","20","21","20","20","","","","","32","12","5","","2017-06-09","0"
"","21","24","21","22","","","","","37","14","7","","2017-06-23","0"
"","22","25","22","22","","","","","37","16","7","","2017-07-07","0"
"","20","23","20","20","","","","","34","15","7","","2017-07-21","0"
"","19","21","19","19","","","","","32","14","6","","2017-08-04","0"
"","19","21","19","19","","","","","33","15","7","","2017-08-18","0"
"","11","13","11","11","","","","","19","9","4","","2017-09-01","0"
"","16","18","16","16","","","","","27","12","5","","2017-09-15","0"
"","13","14","13","13","","","","","22","10","4","","2017-09-29","0"
"","17","20","17","17","","","","","30","14","6","","2017-10-13","0"
"","14","16","14","14","","","","","24","12","5","","2017-10-27","0"
"","13","14","13","13","","","","","22","10","4","","2017-11-10","0"
"","14","16","14","14","","","","","24","12","5","","2017-11-24","0"
"","11","13","11","11","","","","","19","9","4","","2017-12-08","0"
"","16","18","16","16","","","","","27","13","5","","2017-12-22","0"
"","14","16","15","14","","","","","24","12","5","","2018-01-05","0"
"","14","16","15","14","","","","","24","12","5","","2018-01-19","0"
"","14","16","15","14","","","","","24","12","5","","2018-02-02","0"
"","14","16","15","14","","","","","24","12","5","","2018-02-16","0"
"","16","18","16","16","","","","","27","13","5","","2018-03-02","0"
"","16","18","16","16","","","","","27","13","5","","2018-03-16","0"
"","14","16","15","14","","","","","24","12","5","","2018-03-30","0"
"","13","14","13","13","","","","","22","10","5","","2018-04-13","0"
"","22","25","23","22","","","","","38","18","9","","2018-04-27","0"
"","22","25","23","22","","","","","38","18","9","","2018-05-11","0"
"","22","25","23","22","","","","","38","18","9","","2018-05-25","0"
"","20","23","21","20","","","","","35","17","8","","2018-06-08","0"
"","22","26","24","23","","","","","39","18","9","","2018-06-22","0"
"","22","26","24","23","","","","","39","18","9","","2018-07-06","0"
"","22","26","24","23","","","","","39","18","9","","2018-07-20","0"
"","22","26","24","23","","","","","39","18","9","","2018-08-03","0"
"","22","26","24","23","","","","","39","18","9","","2018-08-17","0"
"","22","26","24","23","","","","","39","18","9","","2018-08-31","0"
"","22","26","24","23","","","","","39","18","9","","2018-09-14","0"
"","22","26","24","23","","","","","39","18","9","","2018-09-28","0"
"","22","26","24","23","","","","","39","18","9","","2018-10-12","0"
"","22","26","24","23","","","","","40","18","10","","2018-10-26","0"
"","22","26","24","23","","","","","40","18","10","","2018-11-09","0"
"","22","26","24","23","","","","","40","18","10","","2018-11-23","0"
"","22","26","24","23","","","","","40","18","10","","2018-12-07","0"
"","22","26","24","23","","","","","40","18","10","","2018-12-21","0"
"","22","26","24","23","","","","","40","18","10","","2019-01-04","0"
"","22","26","24","23","","","","","40","18","10","","2019-01-18","0"
"","24","28","26","25","","","","","43","19","11","","2019-02-01","0"
"","22","26","24","23","","","","","40","18","10","","2019-02-15","0"
"","22","26","24","23","","","","","40","18","10","","2019-03-01","0"
"","13","15","14","13","","","","","23","10","6","","2019-03-15","0"
"","5","6","5","5","","","","","9","4","2","","2019-03-29","0"
"","20","24","22","21","","","","","37","17","9","","2019-04-12","0"
"","22","26","25","23","","","","","40","19","10","","2019-04-26","0"
"","6","7","7","7","","","","","11","5","3","","2019-05-10","0"
