"597","7208","date","other"
"5","","2018-12-05","0"
"21","","2018-12-19","0"
"21","","2019-01-02","0"
"21","","2019-01-16","0"
"21","","2019-01-30","0"
"21","","2019-02-13","0"
"21","","2019-02-27","0"
"11","","2019-03-13","0"
"8","","2019-03-27","0"
"18","","2019-04-10","0"
"21","","2019-04-24","0"
"11","","2019-05-08","0"
"12","","2019-05-22","0"
"23","","2019-06-05","0"
"20","","2019-06-19","0"
"23","","2019-07-03","0"
"23","","2019-07-17","0"
"24","","2019-07-31","0"
"20","1","2019-08-14","0"
"21","10","2019-08-28","0"
"21","10","2019-09-11","0"
"24","11","2019-09-25","0"
"23","11","2019-10-09","0"
"21","10","2019-10-23","0"
"23","11","2019-11-06","0"
"36","14","2019-11-20","0"
"33","11","2019-12-04","0"
"38","12","2019-12-18","0"
"31","10","2020-01-01","0"
"40","13","2020-01-15","0"
"31","10","2020-01-29","0"
"35","11","2020-02-12","0"
"38","12","2020-02-26","0"
"33","11","2020-03-11","0"
"38","12","2020-03-25","0"
"33","9","2020-04-08","0"
"38","9","2020-04-22","0"
"44","11","2020-05-06","0"
"44","11","2020-05-20","0"
"47","11","2020-06-03","0"
"47","11","2020-06-17","0"
"44","11","2020-07-01","0"
"41","10","2020-07-15","0"
"44","11","2020-07-29","0"
"35","9","2020-08-12","0"
"41","10","2020-08-26","0"
"41","10","2020-09-09","0"
"44","11","2020-09-23","0"
"50","12","2020-10-07","0"
"41","10","2020-10-21","0"
"44","11","2020-11-04","0"
"44","11","2020-11-18","0"
"53","13","2020-12-02","0"
"59","14","2020-12-16","0"
"44","11","2020-12-30","0"
"53","13","2021-01-13","0"
"50","12","2021-01-27","0"
"41","10","2021-02-10","0"
"47","11","2021-02-24","0"
"41","10","2021-03-10","0"
"41","10","2021-03-24","0"
"41","10","2021-04-07","0"
"44","11","2021-04-21","0"
"41","10","2021-05-05","0"
"41","10","2021-05-19","0"
