"87","5407","8013","date","other"
"3","2","","2017-06-23","0"
"23","13","","2017-07-07","0"
"21","12","","2017-07-21","0"
"20","11","","2017-08-04","0"
"20","11","","2017-08-18","0"
"12","7","","2017-09-01","0"
"15","8","","2017-09-15","0"
"16","9","","2017-09-29","0"
"15","8","","2017-10-13","0"
"13","7","","2017-10-27","0"
"13","7","","2017-11-10","0"
"15","8","","2017-11-24","0"
"12","7","","2017-12-08","0"
"15","8","","2017-12-22","0"
"15","8","","2018-01-05","0"
"14","7","","2018-01-19","0"
"12","6","","2018-02-02","0"
"17","9","","2018-02-16","0"
"14","7","","2018-03-02","0"
"14","7","","2018-03-16","0"
"16","8","","2018-03-30","0"
"16","8","","2018-04-13","0"
"25","13","","2018-04-27","0"
"27","14","","2018-05-11","0"
"25","13","","2018-05-25","0"
"25","13","","2018-06-08","0"
"25","13","","2018-06-22","0"
"25","13","","2018-07-06","0"
"25","13","","2018-07-20","0"
"25","13","","2018-08-03","0"
"25","13","","2018-08-17","0"
"25","13","","2018-08-31","0"
"25","13","","2018-09-14","0"
"25","13","","2018-09-28","0"
"26","14","","2018-10-12","0"
"26","14","","2018-10-26","0"
"26","14","","2018-11-09","0"
"26","14","","2018-11-23","0"
"26","14","","2018-12-07","0"
"26","14","","2018-12-21","0"
"26","14","","2019-01-04","0"
"26","14","","2019-01-18","0"
"27","14","","2019-02-01","0"
"27","14","","2019-02-15","0"
"27","14","","2019-03-01","0"
"17","9","","2019-03-15","0"
"12","7","","2019-03-29","0"
"25","15","","2019-04-12","0"
"27","16","","2019-04-26","0"
"8","5","","2019-05-10","0"
"19","12","","2019-05-24","0"
"27","17","","2019-06-07","0"
"27","17","","2019-06-21","0"
"27","17","","2019-07-05","0"
"29","18","","2019-07-19","0"
"25","16","","2019-08-02","0"
"31","19","","2019-08-16","0"
"27","17","","2019-08-30","0"
"25","16","","2019-09-13","0"
"25","16","","2019-09-27","0"
"27","17","","2019-10-11","0"
"27","17","","2019-10-25","0"
"25","16","","2019-11-08","0"
"27","17","","2019-11-22","0"
"28","17","","2019-12-06","0"
"32","19","","2019-12-20","0"
"24","15","","2020-01-03","0"
"36","22","","2020-01-17","0"
"30","18","","2020-01-31","0"
"37","22","","2020-02-14","0"
"27","16","","2020-02-28","0"
"29","17","","2020-03-13","0"
"50","29","","2020-03-27","0"
"27","16","","2020-04-10","0"
"27","16","","2020-04-24","0"
"31","18","","2020-05-08","0"
"27","16","","2020-05-22","0"
"29","17","","2020-06-05","0"
"30","18","1","2020-06-19","0"
"30","18","6","2020-07-03","0"
"28","17","6","2020-07-17","0"
"34","21","7","2020-07-31","0"
"26","15","5","2020-08-14","0"
"30","18","6","2020-08-28","0"
"26","16","5","2020-09-11","0"
"38","23","9","2020-09-25","0"
"40","24","9","2020-10-09","0"
"33","20","8","2020-10-23","0"
"31","19","7","2020-11-06","0"
"34","21","9","2020-11-20","0"
"37","23","10","2020-12-04","0"
"30","19","8","2020-12-18","0"
"34","21","10","2021-01-01","0"
"48","30","14","2021-01-15","0"
"32","20","9","2021-01-29","0"
"34","21","10","2021-02-12","0"
"41","26","12","2021-02-26","0"
"32","20","9","2021-03-12","0"
"32","20","9","2021-03-26","0"
"32","20","9","2021-04-09","0"
"32","20","9","2021-04-23","0"
"32","20","9","2021-05-07","0"
"32","20","9","2021-05-21","0"
