"492","597","date","other"
"20","20","2019-07-17","0"
"24","23","2019-07-31","0"
"20","20","2019-08-14","0"
"22","21","2019-08-28","0"
"20","20","2019-09-11","0"
"22","21","2019-09-25","0"
"28","27","2019-10-09","0"
"22","21","2019-10-23","0"
"22","21","2019-11-06","0"
"8","8","2019-11-20","0"
"9","9","2020-09-23","0"
"24","23","2020-10-07","0"
"24","23","2020-10-21","0"
"25","24","2020-11-04","0"
"28","27","2020-11-18","0"
"27","26","2020-12-02","0"
"24","23","2020-12-16","0"
"31","30","2020-12-30","0"
"31","30","2021-01-13","0"
"30","29","2021-01-27","0"
"14","14","2021-02-10","0"
"22","21","2021-02-24","0"
"20","20","2021-03-10","0"
"22","21","2021-03-24","0"
"22","21","2021-04-07","0"
"22","21","2021-04-21","0"
"22","21","2021-05-05","0"
