"9","19","492","597","date","other"
"3","3","3","3","2017-02-15","0"
"20","21","21","22","2017-03-01","0"
"1","2","2","2","2017-03-15","0"
"4","5","5","5","2018-03-14","0"
"9","9","9","9","2018-03-28","0"
"13","14","14","14","2018-04-11","0"
"20","21","21","22","2018-04-25","0"
"20","21","21","22","2018-05-09","0"
"20","21","21","22","2018-05-23","0"
"20","21","21","22","2018-06-06","0"
"21","23","23","24","2018-06-20","0"
"20","21","21","22","2018-07-04","0"
"20","21","21","22","2018-07-18","0"
"20","21","21","22","2018-08-01","0"
"20","21","21","22","2018-08-15","0"
"20","21","21","22","2018-08-29","0"
"20","21","21","22","2018-09-12","0"
"20","21","21","22","2018-09-26","0"
"20","21","21","22","2018-10-10","0"
"20","21","21","22","2018-10-24","0"
"20","21","21","22","2018-11-07","0"
"20","21","21","22","2018-11-21","0"
"20","21","21","22","2018-12-05","0"
"21","23","23","24","2018-12-19","0"
"20","21","21","22","2019-01-02","0"
"20","21","21","22","2019-01-16","0"
"20","21","21","22","2019-01-30","0"
"20","21","21","22","2019-02-13","0"
"20","21","21","22","2019-02-27","0"
"11","12","12","13","2019-03-13","0"
"19","20","20","20","2019-04-10","0"
"20","21","21","22","2019-04-24","0"
"9","9","9","9","2019-05-08","0"
"11","12","12","13","2019-05-22","0"
"20","21","21","22","2019-06-05","0"
"21","23","23","24","2019-06-19","0"
"21","23","23","24","2019-07-03","0"
"20","21","21","22","2019-07-17","0"
"21","23","23","24","2019-07-31","0"
"19","20","20","20","2019-08-14","0"
"23","24","24","25","2019-08-28","0"
"19","20","20","20","2019-09-11","0"
"20","21","21","22","2019-09-25","0"
"20","21","21","22","2019-10-09","0"
"21","23","23","24","2019-10-23","0"
"19","20","20","20","2019-11-06","0"
"20","21","21","22","2019-11-20","0"
"23","24","24","25","2019-12-04","0"
"24","26","26","27","2019-12-18","0"
"27","29","29","30","2020-01-01","0"
"24","26","26","27","2020-01-15","0"
"21","23","23","24","2020-01-29","0"
"19","20","20","20","2020-02-12","0"
"21","23","23","24","2020-02-26","0"
"29","30","30","31","2020-03-11","0"
"21","23","23","24","2020-03-25","0"
"23","24","24","25","2020-04-08","0"
"21","23","23","24","2020-04-22","0"
"21","23","23","24","2020-05-06","0"
"21","23","23","24","2020-05-20","0"
"24","26","26","27","2020-06-03","0"
"21","23","23","24","2020-06-17","0"
"20","21","21","22","2020-07-01","0"
"20","21","21","22","2020-07-15","0"
"20","21","21","22","2020-07-29","0"
"40","42","42","44","2020-08-12","0"
"23","24","24","25","2020-08-26","0"
"26","27","27","28","2020-09-09","0"
"20","21","21","22","2020-09-23","0"
"21","23","23","24","2020-10-07","0"
"26","27","27","28","2020-10-21","0"
"26","27","27","28","2020-11-04","0"
"29","30","30","31","2020-11-18","0"
"24","26","26","27","2020-12-02","0"
"26","27","27","28","2020-12-16","0"
"27","29","29","30","2020-12-30","0"
"27","29","29","30","2021-01-13","0"
"24","26","26","27","2021-01-27","0"
"16","17","17","17","2021-02-10","0"
"20","21","21","22","2021-02-24","0"
"20","21","21","22","2021-03-10","0"
"21","23","23","24","2021-03-24","0"
"20","21","21","22","2021-04-07","0"
"20","21","21","22","2021-04-21","0"
"20","21","21","22","2021-05-05","0"
"21","23","23","24","2021-05-19","0"
