"597","599","date","other"
"8","7","2018-09-26","0"
"22","19","2018-10-10","0"
"22","19","2018-10-24","0"
"22","19","2018-11-07","0"
"22","19","2018-11-21","0"
"22","19","2018-12-05","0"
"22","19","2018-12-19","0"
"22","19","2019-01-02","0"
"22","19","2019-01-16","0"
"22","19","2019-01-30","0"
"22","19","2019-02-13","0"
"22","19","2019-02-27","0"
"22","19","2019-03-13","0"
"16","14","2019-03-27","0"
"22","19","2019-04-10","0"
"22","19","2019-04-24","0"
"9","8","2019-05-08","0"
"11","10","2019-05-22","0"
"22","19","2019-06-05","0"
"22","19","2019-06-19","0"
"24","20","2019-07-03","0"
"24","20","2019-07-17","0"
"24","20","2019-07-31","0"
"20","18","2019-08-14","0"
"24","20","2019-08-28","0"
"25","22","2019-09-11","0"
"24","20","2019-09-25","0"
"20","18","2019-10-09","0"
"24","20","2019-10-23","0"
"24","20","2019-11-06","0"
"20","18","2019-11-20","0"
"22","19","2019-12-04","0"
"25","22","2019-12-18","0"
"25","22","2020-01-01","0"
"20","18","2020-01-15","0"
"25","22","2020-01-29","0"
"22","19","2020-02-12","0"
"22","19","2020-02-26","0"
"25","22","2020-03-11","0"
"25","22","2020-03-25","0"
"25","22","2020-04-08","0"
"20","18","2020-04-22","0"
"22","19","2020-05-06","0"
"25","22","2020-05-20","0"
"24","20","2020-06-03","0"
"22","19","2020-06-17","0"
"20","18","2020-07-01","0"
"24","20","2020-07-15","0"
"22","19","2020-07-29","0"
"19","16","2020-08-12","0"
"20","18","2020-08-26","0"
"27","23","2020-09-09","0"
"25","22","2020-09-23","0"
"28","24","2020-10-07","0"
"24","20","2020-10-21","0"
"22","19","2020-11-04","0"
"33","29","2020-11-18","0"
"31","27","2020-12-02","0"
"24","20","2020-12-16","0"
"33","29","2020-12-30","0"
"27","23","2021-01-13","0"
"33","29","2021-01-27","0"
"14","12","2021-02-10","0"
"22","19","2021-02-24","0"
"22","19","2021-03-10","0"
"22","19","2021-03-24","0"
"22","19","2021-04-07","0"
"22","19","2021-04-21","0"
"22","19","2021-05-05","0"
