"19","492","597","1773","3871","4057","4085","4182","6650","date","other"
"15","15","15","8","8","8","8","8","14","2018-08-29","0"
"41","41","42","22","21","21","21","21","40","2018-09-12","0"
"3","3","3","2","2","2","2","2","3","2018-09-26","0"
