"599","699","701","15045","date","other"
"8","7","","","2017-09-01","0"
"17","16","","","2017-09-15","0"
"16","14","","","2017-09-29","0"
"17","16","","","2017-10-13","0"
"11","10","","","2017-10-27","0"
"14","13","","","2017-11-10","0"
"14","13","","","2017-11-24","0"
"14","13","","","2017-12-08","0"
"13","12","","","2017-12-22","0"
"11","11","","","2018-01-05","0"
"11","11","","","2018-01-19","0"
"13","12","","","2018-02-02","0"
"17","17","","","2018-02-16","0"
"16","15","","","2018-03-02","0"
"13","12","","","2018-03-16","0"
"20","20","","9","2018-03-30","0"
"16","15","","7","2018-04-13","0"
"22","21","","10","2018-04-27","0"
"22","21","4","10","2018-05-11","0"
"23","21","20","10","2018-05-25","0"
"23","21","20","10","2018-06-08","0"
"23","21","20","10","2018-06-22","0"
"23","21","20","10","2018-07-06","0"
"23","21","20","10","2018-07-20","0"
"23","21","20","10","2018-08-03","0"
"23","21","20","10","2018-08-17","0"
"23","21","20","10","2018-08-31","0"
"23","21","20","10","2018-09-14","0"
"23","21","20","10","2018-09-28","0"
"23","21","20","10","2018-10-12","0"
"23","21","20","10","2018-10-26","0"
"23","21","20","10","2018-11-09","0"
"23","21","20","10","2018-11-23","0"
"23","21","20","10","2018-12-07","0"
"23","21","20","10","2018-12-21","0"
"23","21","20","10","2019-01-04","0"
"23","21","20","10","2019-01-18","0"
"23","21","20","10","2019-02-01","0"
"23","21","20","10","2019-02-15","0"
"23","21","20","10","2019-03-01","0"
"10","9","9","4","2019-03-15","0"
"8","8","7","4","2019-03-29","0"
"21","20","19","9","2019-04-12","0"
"23","21","20","10","2019-04-26","0"
"7","6","6","3","2019-05-10","0"
"16","15","14","7","2019-05-24","0"
"25","23","21","11","2019-06-07","0"
"23","21","20","10","2019-06-21","0"
"25","23","21","11","2019-07-05","0"
"23","21","20","10","2019-07-19","0"
"21","20","19","9","2019-08-02","0"
"23","21","20","10","2019-08-16","0"
"21","20","19","9","2019-08-30","0"
"21","20","19","9","2019-09-13","0"
"21","20","19","9","2019-09-27","0"
"23","21","20","10","2019-10-11","0"
"24","21","20","10","2019-10-25","0"
"21","18","17","9","2019-11-08","0"
"24","21","20","10","2019-11-22","0"
"37","33","31","11","2019-12-06","0"
"48","44","43","11","2019-12-20","0"
"35","32","31","8","2020-01-03","0"
"48","44","43","11","2020-01-17","0"
"48","44","43","11","2020-01-31","0"
"48","44","43","11","2020-02-14","0"
"42","38","37","9","2020-02-28","0"
"42","38","37","9","2020-03-13","0"
"45","41","40","10","2020-03-27","0"
"42","39","37","10","2020-04-10","0"
"42","39","37","10","2020-04-24","0"
"45","42","40","11","2020-05-08","0"
"42","39","37","10","2020-05-22","0"
"45","42","40","11","2020-06-05","0"
"45","42","40","10","2020-06-19","0"
"42","39","37","9","2020-07-03","0"
"58","54","51","13","2020-07-17","0"
"45","42","40","10","2020-07-31","0"
"39","36","34","9","2020-08-14","0"
"51","48","46","11","2020-08-28","0"
"42","39","37","9","2020-09-11","0"
"42","39","37","9","2020-09-25","0"
"51","48","46","11","2020-10-09","0"
"45","42","40","10","2020-10-23","0"
"48","45","43","11","2020-11-06","0"
"48","45","43","11","2020-11-20","0"
"55","51","49","12","2020-12-04","0"
"45","42","40","10","2020-12-18","0"
"51","48","46","11","2021-01-01","0"
"48","45","43","11","2021-01-15","0"
"42","39","37","9","2021-01-29","0"
"29","27","26","6","2021-02-12","0"
"51","48","46","11","2021-02-26","0"
"45","42","40","10","2021-03-12","0"
"45","42","40","10","2021-03-26","0"
"45","42","40","10","2021-04-09","0"
"45","42","40","10","2021-04-23","0"
"45","42","40","10","2021-05-07","0"
"45","42","40","10","2021-05-21","0"
