"9","492","1770","date","other"
"11","12","3","2017-02-16","0"
"20","21","5","2017-03-02","0"
"7","8","3","2017-12-21","0"
"14","15","5","2018-01-04","0"
"10","11","4","2018-01-18","0"
"10","11","4","2018-02-01","0"
"14","15","5","2018-02-15","0"
"16","17","6","2018-03-01","0"
"14","15","5","2018-03-15","0"
"13","14","5","2018-03-29","0"
"13","14","5","2018-04-12","0"
"21","23","8","2018-04-26","0"
"20","21","7","2018-05-10","0"
"20","21","7","2018-05-24","0"
"19","20","7","2018-06-07","0"
"20","21","7","2018-06-21","0"
"20","21","7","2018-07-05","0"
"20","21","7","2018-07-19","0"
"20","21","7","2018-08-02","0"
"20","21","7","2018-08-16","0"
"20","21","7","2018-08-30","0"
"20","21","7","2018-09-13","0"
"20","21","8","2018-09-27","0"
"20","21","8","2018-10-11","0"
"20","21","8","2018-10-25","0"
"20","21","8","2018-11-08","0"
"20","21","8","2018-11-22","0"
"20","21","7","2018-12-06","0"
"20","21","7","2018-12-20","0"
"20","21","7","2019-01-03","0"
"20","21","7","2019-01-17","0"
"20","21","7","2019-01-31","0"
"20","21","7","2019-02-14","0"
"20","21","7","2019-02-28","0"
"11","12","4","2019-03-14","0"
"4","5","2","2019-03-28","0"
"19","20","7","2019-04-11","0"
"20","21","8","2019-04-25","0"
"7","8","3","2019-05-09","0"
"14","14","8","2019-05-23","0"
"21","21","13","2019-06-06","0"
"21","21","13","2019-06-20","0"
"21","21","13","2019-07-04","0"
"20","20","12","2019-07-18","0"
"23","23","14","2019-08-01","0"
"18","18","11","2019-08-15","0"
"21","21","13","2019-08-29","0"
"20","20","12","2019-09-12","0"
"23","23","14","2019-09-26","0"
"23","23","14","2019-10-10","0"
"21","21","13","2019-10-24","0"
"20","20","12","2019-11-07","0"
"30","30","14","2019-11-21","0"
"31","31","13","2019-12-05","0"
"33","33","14","2019-12-19","0"
"33","33","14","2020-01-02","0"
"29","29","12","2020-01-16","0"
"33","33","14","2020-01-30","0"
"29","29","12","2020-02-13","0"
"31","31","13","2020-02-27","0"
"31","31","13","2020-03-12","0"
"33","33","14","2020-03-26","0"
"33","33","14","2020-04-09","0"
"33","33","14","2020-04-23","0"
"31","31","13","2020-05-07","0"
"31","31","13","2020-05-21","0"
"33","33","14","2020-06-04","0"
"31","31","13","2020-06-18","0"
"31","31","13","2020-07-02","0"
"29","29","12","2020-07-16","0"
"53","53","22","2020-07-30","0"
"27","27","11","2020-08-13","0"
"33","33","14","2020-08-27","0"
"29","29","12","2020-09-10","0"
"29","29","12","2020-09-24","0"
"35","35","15","2020-10-08","0"
"33","33","14","2020-10-22","0"
"49","49","20","2020-11-05","0"
"33","33","14","2020-11-19","0"
"40","40","17","2020-12-03","0"
"31","31","13","2020-12-17","0"
"29","29","12","2020-12-31","0"
"40","41","17","2021-01-14","0"
"42","43","19","2021-01-28","0"
"27","27","12","2021-02-11","0"
"33","34","15","2021-02-25","0"
"31","32","14","2021-03-11","0"
"33","34","15","2021-03-25","0"
"31","32","14","2021-04-08","0"
"35","37","16","2021-04-22","0"
"31","32","14","2021-05-06","0"
"31","32","14","2021-05-20","0"
