"19","492","1663","1716","1734","1759","1774","3839","3959","4026","4136","4182","5125","42804","date","other"
"2","2","0","","","","","","0","","","","","","2017-04-12","0"
"25","24","10","7","","","","","13","","","","","","2017-04-26","0"
"27","26","13","8","","","","","17","","","","","","2017-05-10","0"
"28","26","15","9","","","","","18","","","","","","2017-05-24","0"
"33","31","21","9","","","7","","24","5","","","","","2017-06-07","0"
"38","36","27","10","","","13","","31","10","","","","","2017-06-21","0"
"39","36","28","12","","","13","","32","10","","","","","2017-07-05","0"
"39","36","28","12","","","13","","32","10","","","","","2017-07-19","0"
"36","33","26","11","","","12","","30","9","","","","","2017-08-02","0"
"36","34","27","11","","","12","","31","10","","","","","2017-08-16","0"
"20","19","15","6","","","8","","17","6","","","","","2017-08-30","0"
"40","38","32","14","","","15","","36","12","","","","","2017-09-13","0"
"40","38","32","14","","","15","","36","12","","","","","2017-09-27","0"
"40","38","33","14","","","15","","36","12","","","","","2017-10-11","0"
"40","38","33","14","","","15","","36","12","","","","","2017-10-25","0"
"41","39","34","15","","","16","","37","12","","","","","2017-11-08","0"
"41","39","34","15","","","16","","38","12","","","","","2017-11-22","0"
"41","39","34","15","","","16","","38","12","","","","","2017-12-06","0"
"41","39","35","15","","","17","","39","12","","","","","2017-12-20","0"
"35","33","30","13","","","15","","33","10","","","","","2018-01-03","0"
"41","39","35","17","","","18","","39","12","","","","","2018-01-17","0"
"39","36","33","16","","","17","","37","11","","","","","2018-01-31","0"
"42","39","36","17","","","19","","40","12","","","","","2018-02-14","0"
"39","36","33","16","","","18","","37","11","","","","","2018-02-28","0"
"39","37","33","16","","","18","","37","11","","","","","2018-03-14","0"
"43","41","38","17","","","21","4","41","12","","4","","","2018-03-28","0"
"38","37","34","15","","","20","6","37","10","","7","","","2018-04-11","0"
"45","43","40","18","","","23","7","43","12","","8","","","2018-04-25","0"
"45","43","40","18","","","23","7","43","12","","8","","","2018-05-09","0"
"45","43","40","18","","","23","7","43","12","","8","","","2018-05-23","0"
"42","40","37","17","","","21","7","40","11","","8","","","2018-06-06","0"
"45","43","41","19","","","24","7","45","12","","9","","","2018-06-20","0"
"45","43","41","19","","","25","7","45","12","","9","","","2018-07-04","0"
"45","43","41","19","","","25","7","45","12","","9","","","2018-07-18","0"
"45","43","41","20","","","25","7","45","13","","9","","","2018-08-01","0"
"46","43","42","21","","","25","7","46","13","","10","","","2018-08-15","0"
"46","43","42","21","","","25","7","46","13","","10","","","2018-08-29","0"
"46","43","42","21","","","25","7","46","13","","10","","","2018-09-12","0"
"46","43","42","21","","","25","7","46","13","","10","","","2018-09-26","0"
"46","43","42","22","","","25","7","46","13","","10","","","2018-10-10","0"
"46","43","42","21","","","25","7","45","13","","10","","","2018-10-24","0"
"46","43","42","21","","","25","7","45","13","","10","","","2018-11-07","0"
"46","43","42","21","","","25","7","45","13","","10","","","2018-11-21","0"
