"492","1625","date","other"
"3","1","2020-06-03","0"
"21","10","2020-06-17","0"
"21","10","2020-07-01","0"
"18","9","2020-07-15","0"
"29","14","2020-07-29","0"
"17","8","2020-08-12","0"
"20","10","2020-08-26","0"
"23","12","2020-09-09","0"
"21","11","2020-09-23","0"
"24","13","2020-10-07","0"
"21","11","2020-10-21","0"
"23","12","2020-11-04","0"
"35","18","2020-11-18","0"
"27","14","2020-12-02","0"
"21","11","2020-12-16","0"
"21","11","2020-12-30","0"
"21","11","2021-01-13","0"
"29","15","2021-01-27","0"
"14","7","2021-02-10","0"
"23","12","2021-02-24","0"
"21","11","2021-03-10","0"
"21","11","2021-03-24","0"
"21","11","2021-04-07","0"
"21","11","2021-04-21","0"
"21","11","2021-05-05","0"
