"492","21978","date","other"
"17","6","2020-09-09","0"
"21","7","2020-09-23","0"
"21","7","2020-10-07","0"
"18","6","2020-10-21","0"
"21","7","2020-11-04","0"
"24","8","2020-11-18","0"
"21","7","2020-12-02","0"
"21","7","2020-12-16","0"
"23","8","2020-12-30","0"
"23","8","2021-01-13","0"
"26","9","2021-01-27","0"
"14","5","2021-02-10","0"
"24","8","2021-02-24","0"
"21","7","2021-03-10","0"
"21","7","2021-03-24","0"
"21","7","2021-04-07","0"
"21","7","2021-04-21","0"
"21","7","2021-05-05","0"
"21","7","2021-05-19","0"
