"19","21","492","597","date","other"
"11","10","11","","2018-10-11","0"
"21","20","21","","2018-10-25","0"
"21","20","21","","2018-11-08","0"
"21","20","21","","2018-11-22","0"
"21","20","21","","2018-12-06","0"
"21","20","21","","2018-12-20","0"
"21","20","21","","2019-01-03","0"
"21","20","21","","2019-01-17","0"
"21","20","21","","2019-01-31","0"
"21","20","21","","2019-02-14","0"
"21","20","21","","2019-02-28","0"
"21","20","21","","2019-03-14","0"
"17","16","17","","2019-03-28","0"
"21","20","21","","2019-04-11","0"
"21","20","21","","2019-04-25","0"
"9","9","9","","2019-05-09","0"
"14","13","14","","2019-05-23","0"
"26","24","26","","2019-06-06","0"
"24","23","24","","2019-06-20","0"
"24","23","24","","2019-07-04","0"
"23","21","23","","2019-07-18","0"
"23","21","23","","2019-08-01","0"
"21","20","21","","2019-08-15","0"
"27","26","27","","2019-08-29","0"
"20","19","20","","2019-09-12","0"
"24","23","24","","2019-09-26","0"
"23","21","23","","2019-10-10","0"
"24","23","24","","2019-10-24","0"
"23","21","23","","2019-11-07","0"
"27","26","27","17","2019-11-21","0"
"31","30","31","30","2019-12-05","0"
"33","32","33","32","2019-12-19","0"
"24","24","24","24","2020-01-02","0"
"31","30","31","30","2020-01-16","0"
"31","30","31","30","2020-01-30","0"
"35","34","35","34","2020-02-13","0"
"33","32","33","32","2020-02-27","0"
"40","39","40","39","2020-03-12","0"
"33","32","33","32","2020-03-26","0"
"40","39","40","39","2020-04-09","0"
"27","26","27","26","2020-04-23","0"
"31","30","31","30","2020-05-07","0"
"35","34","35","34","2020-05-21","0"
"33","32","33","32","2020-06-04","0"
"31","30","31","30","2020-06-18","0"
"40","39","40","39","2020-07-02","0"
"27","26","27","26","2020-07-16","0"
"29","28","29","28","2020-07-30","0"
"35","34","35","34","2020-08-13","0"
"31","30","31","30","2020-08-27","0"
"29","28","29","28","2020-09-10","0"
"31","30","31","30","2020-09-24","0"
"38","36","38","36","2020-10-08","0"
"38","36","38","36","2020-10-22","0"
"27","26","27","26","2020-11-05","0"
"42","41","42","41","2020-11-19","0"
"51","49","51","49","2020-12-03","0"
"38","36","38","36","2020-12-17","0"
"40","39","40","39","2020-12-31","0"
"33","32","33","32","2021-01-14","0"
"38","36","38","36","2021-01-28","0"
"18","17","18","17","2021-02-11","0"
"29","28","29","28","2021-02-25","0"
"31","30","31","30","2021-03-11","0"
"31","30","31","30","2021-03-25","0"
"33","32","33","32","2021-04-08","0"
"31","30","31","30","2021-04-22","0"
"31","30","31","30","2021-05-06","0"
