"19","492","597","701","1685","3841","4840","7368","date","other"
"6","11","6","6","6","6","6","7","2018-10-11","0"
"12","21","12","12","11","12","12","13","2018-10-25","0"
"12","21","12","12","11","12","12","13","2018-11-08","0"
"12","21","12","12","11","12","12","13","2018-11-22","0"
"12","21","12","12","11","12","12","13","2018-12-06","0"
"12","21","12","12","11","12","13","13","2018-12-20","0"
"12","21","12","12","11","12","13","13","2019-01-03","0"
"11","20","11","11","10","11","12","12","2019-01-17","0"
"12","21","12","12","11","12","13","13","2019-01-31","0"
"12","21","12","12","11","12","13","13","2019-02-14","0"
"12","21","12","12","11","12","13","13","2019-02-28","0"
"12","21","12","12","11","12","13","13","2019-03-14","0"
"11","20","11","11","10","11","12","12","2019-03-28","0"
"12","21","12","12","11","12","13","13","2019-04-11","0"
"12","21","12","12","11","12","13","13","2019-04-25","0"
"4","8","4","4","4","4","5","5","2019-05-09","0"
"7","12","7","7","6","7","7","7","2019-05-23","0"
"13","23","13","13","12","13","14","14","2019-06-06","0"
"14","24","14","14","13","14","15","15","2019-06-20","0"
"12","21","12","12","11","12","13","13","2019-07-04","0"
"12","21","12","12","11","12","13","13","2019-07-18","0"
"15","26","15","15","13","15","16","16","2019-08-01","0"
"12","21","12","12","11","12","13","13","2019-08-15","0"
"13","23","13","13","12","13","14","14","2019-08-29","0"
"11","20","11","11","10","11","12","12","2019-09-12","0"
"14","24","14","14","13","14","15","15","2019-09-26","0"
"14","24","14","14","13","14","15","15","2019-10-10","0"
"13","23","13","13","12","13","14","14","2019-10-24","0"
"11","20","11","11","10","11","12","12","2019-11-07","0"
"12","21","12","12","11","13","14","13","2019-11-21","0"
"13","23","13","13","12","14","15","14","2019-12-05","0"
"14","24","14","14","13","15","16","15","2019-12-19","0"
"12","21","12","12","11","13","14","13","2020-01-02","0"
"11","20","11","11","10","12","13","12","2020-01-16","0"
"15","26","15","15","13","16","17","16","2020-01-30","0"
"13","23","13","13","12","14","15","14","2020-02-13","0"
"13","23","13","13","12","14","15","14","2020-02-27","0"
"13","23","13","13","12","14","15","14","2020-03-12","0"
"13","23","13","13","12","14","15","14","2020-03-26","0"
"13","23","13","13","12","14","15","14","2020-04-09","0"
"11","20","11","11","10","12","13","12","2020-04-23","0"
"13","23","13","13","12","14","15","14","2020-05-07","0"
"11","20","11","11","10","12","13","12","2020-05-21","0"
"13","23","13","13","12","14","15","14","2020-06-04","0"
"14","24","14","14","13","15","16","15","2020-06-18","0"
"11","20","11","11","10","12","13","12","2020-07-02","0"
"10","18","10","10","9","11","12","11","2020-07-16","0"
"13","23","13","13","12","14","15","14","2020-07-30","0"
"10","18","10","10","9","11","12","11","2020-08-13","0"
"11","20","11","11","10","12","13","12","2020-08-27","0"
"15","26","15","15","13","16","17","16","2020-09-10","0"
"13","23","13","13","12","14","15","14","2020-09-24","0"
"15","27","15","15","14","17","18","17","2020-10-08","0"
"15","27","15","15","14","17","18","17","2020-10-22","0"
"13","23","13","13","12","14","15","14","2020-11-05","0"
"15","26","15","15","13","16","17","16","2020-11-19","0"
"22","39","22","22","20","24","26","24","2020-12-03","0"
"15","27","15","15","14","17","18","17","2020-12-17","0"
"18","32","18","18","17","20","21","20","2020-12-31","0"
"16","29","16","16","15","18","19","18","2021-01-14","0"
"13","23","13","13","12","14","15","14","2021-01-28","0"
"7","12","7","7","6","7","8","7","2021-02-11","0"
"11","20","11","11","10","12","13","12","2021-02-25","0"
"12","21","12","12","11","13","14","13","2021-03-11","0"
"12","21","12","12","11","13","14","13","2021-03-25","0"
"12","21","12","12","11","13","14","13","2021-04-08","0"
"12","21","12","12","11","13","14","13","2021-04-22","0"
"12","21","12","12","11","13","14","13","2021-05-06","0"
