"21","1664","1698","3839","3871","4166","4175","4182","5716","7250","7743","21006","date","other"
"37","17","39","25","22","15","11","13","16","10","14","21","2021-04-21","0"
"65","30","69","43","39","26","20","22","28","18","24","36","2021-05-05","0"
"65","30","69","43","39","26","20","22","28","18","24","36","2021-05-19","0"
