"21","597","1738","date","other"
"8","8","2","2020-06-18","0"
"23","23","5","2020-07-02","0"
"18","18","4","2020-07-16","0"
"24","24","6","2020-07-30","0"
"20","20","5","2020-08-13","0"
"23","23","5","2020-08-27","0"
"26","26","6","2020-09-10","0"
"24","24","6","2020-09-24","0"
"21","21","5","2020-10-08","0"
"23","23","5","2020-10-22","0"
"27","27","6","2020-11-05","0"
"27","27","6","2020-11-19","0"
"30","30","7","2020-12-03","0"
"29","29","7","2020-12-17","0"
"23","23","5","2020-12-31","0"
"24","24","6","2021-01-14","0"
"26","26","6","2021-01-28","0"
"20","20","5","2021-02-11","0"
"23","23","5","2021-02-25","0"
"21","21","5","2021-03-11","0"
"21","21","5","2021-03-25","0"
"21","21","5","2021-04-08","0"
"21","21","5","2021-04-22","0"
"21","21","5","2021-05-06","0"
