"122","492","5577","date","other"
"5","5","2","2018-03-14","0"
"14","15","5","2018-03-28","0"
"17","18","6","2018-04-11","0"
"20","21","7","2018-04-25","0"
"22","23","7","2018-05-09","0"
"22","23","7","2018-05-23","0"
"22","23","7","2018-06-06","0"
"22","23","7","2018-06-20","0"
"22","23","7","2018-07-04","0"
"22","23","7","2018-07-18","0"
"22","23","7","2018-08-01","0"
"22","23","7","2018-08-15","0"
"22","23","7","2018-08-29","0"
"22","23","7","2018-09-12","0"
"22","23","7","2018-09-26","0"
"22","23","7","2018-10-10","0"
"22","23","7","2018-10-24","0"
"22","23","7","2018-11-07","0"
"22","23","7","2018-11-21","0"
"22","23","7","2018-12-05","0"
"22","23","7","2018-12-19","0"
"22","23","7","2019-01-02","0"
"22","23","7","2019-01-16","0"
"22","23","7","2019-01-30","0"
"22","23","7","2019-02-13","0"
"22","23","7","2019-02-27","0"
"19","20","6","2019-03-13","0"
"5","5","2","2019-03-27","0"
"20","21","7","2019-04-10","0"
"22","23","7","2019-04-24","0"
"9","10","3","2019-05-08","0"
"13","13","4","2019-05-22","0"
"22","23","7","2019-06-05","0"
"22","23","7","2019-06-19","0"
"25","26","8","2019-07-03","0"
"28","30","9","2019-07-17","0"
"24","25","8","2019-07-31","0"
"25","26","8","2019-08-14","0"
"22","23","7","2019-08-28","0"
"22","23","7","2019-09-11","0"
"20","21","7","2019-09-25","0"
"24","25","8","2019-10-09","0"
"22","23","7","2019-10-23","0"
"20","21","7","2019-11-06","0"
"22","23","7","2019-11-20","0"
"22","23","7","2019-12-04","0"
"27","28","9","2019-12-18","0"
"22","23","7","2020-01-01","0"
"26","27","8","2020-01-15","0"
"66","67","9","2020-01-29","0"
"69","70","9","2020-02-12","0"
"65","66","8","2020-02-26","0"
"57","58","7","2020-03-11","0"
"61","62","8","2020-03-25","0"
"53","54","7","2020-04-08","0"
"57","58","7","2020-04-22","0"
"61","62","8","2020-05-06","0"
"53","54","7","2020-05-20","0"
"61","62","8","2020-06-03","0"
"57","58","7","2020-06-17","0"
"57","58","7","2020-07-01","0"
"53","54","7","2020-07-15","0"
"65","66","8","2020-07-29","0"
"49","50","6","2020-08-12","0"
"57","58","7","2020-08-26","0"
"57","58","7","2020-09-09","0"
"53","54","7","2020-09-23","0"
"81","83","10","2020-10-07","0"
"81","83","10","2020-10-21","0"
"102","104","13","2020-11-04","0"
"69","70","9","2020-11-18","0"
"57","58","7","2020-12-02","0"
"65","66","8","2020-12-16","0"
"65","66","8","2020-12-30","0"
"61","62","8","2021-01-13","0"
"69","70","9","2021-01-27","0"
"33","33","4","2021-02-10","0"
"69","70","9","2021-02-24","0"
"61","62","8","2021-03-10","0"
"57","58","7","2021-03-24","0"
"61","62","8","2021-04-07","0"
"57","58","7","2021-04-21","0"
"61","62","8","2021-05-05","0"
"57","58","7","2021-05-19","0"
