"9","21","122","492","1659","1677","1693","1708","1742","1756","3871","4026","4182","date","other"
"16","","17","16","","","","","","","","","","2017-04-14","0"
"23","","24","23","","","","","","","","","","2017-04-28","0"
"23","","25","23","","","","","","","","","","2017-05-12","0"
"23","","25","23","","","","","","","","","","2017-05-26","0"
"21","","23","21","","","","","","","","","","2017-06-09","0"
"23","","25","23","","","","","","","","","","2017-06-23","0"
"23","","26","24","","","","","","","","","","2017-07-07","0"
"21","","24","22","","","","","","","","","","2017-07-21","0"
"20","","22","21","","","","","","","","","","2017-08-04","0"
"20","","23","21","","","","","","","","","","2017-08-18","0"
"12","","14","12","","","","","","","","","","2017-09-01","0"
"20","","23","21","","","","","","","","","","2017-09-15","0"
"15","","17","15","","","","","","","","","","2017-09-29","0"
"20","","23","21","","","","","","","","","","2017-10-13","0"
"13","","15","14","","","","","","","","","","2017-10-27","0"
"15","","17","15","","","","","","","","","","2017-11-10","0"
"18","","21","19","","","","","","","","","","2017-11-24","0"
"18","","21","19","1","1","","","","","","","","2017-12-08","0"
"15","","17","16","3","3","","","","","","","","2017-12-22","0"
"15","","17","16","3","3","","","","","","","","2018-01-05","0"
"16","","18","16","4","4","","","","","","","","2018-01-19","0"
"20","","22","20","5","5","","","","","","","","2018-02-02","0"
"14","","16","15","3","3","","","","","","","","2018-02-16","0"
"16","","18","17","4","4","","","","","","","","2018-03-02","0"
"13","","14","13","3","3","","","","","","","","2018-03-16","0"
"20","","22","20","5","5","","","","","","","","2018-03-30","0"
"14","","16","14","3","3","","","","","","","","2018-04-13","0"
"25","","28","25","6","6","","","","","","","","2018-04-27","0"
"25","","28","25","6","6","","","","","","","","2018-05-11","0"
"25","","28","25","6","6","","","","","","","","2018-05-25","0"
"23","","26","23","6","6","","","","","","","","2018-06-08","0"
"25","","28","25","6","6","","","","","","","","2018-06-22","0"
"25","","28","25","6","6","","","","","","","","2018-07-06","0"
"25","","28","25","6","6","","","","","","","","2018-07-20","0"
"25","","28","25","6","6","","","","","","","","2018-08-03","0"
"25","","28","25","6","6","","","","","","","","2018-08-17","0"
"25","","28","25","6","6","","","","","","","","2018-08-31","0"
"25","","28","25","6","6","","","","","","","","2018-09-14","0"
"25","","28","25","6","6","","","","","","","","2018-09-28","0"
"25","","28","25","6","6","","","","","","","","2018-10-12","0"
"25","","28","25","6","6","","","","","","","","2018-10-26","0"
"26","","28","25","6","7","","","","","","","","2018-11-09","0"
"26","","28","25","6","7","","","","","","","","2018-11-23","0"
"26","","28","25","6","8","","","","","","","","2018-12-07","0"
"26","","28","25","6","8","","","","","","","","2018-12-21","0"
"26","","28","25","6","8","","","","","","","","2019-01-04","0"
"26","","28","25","6","8","","","","","","","","2019-01-18","0"
"26","","28","25","6","8","","","","","","","","2019-02-01","0"
"26","","28","25","6","8","","","","","","","","2019-02-15","0"
"26","","28","25","6","8","","","","","","","","2019-03-01","0"
"17","","18","16","4","5","","","","","","","","2019-03-15","0"
"11","","12","11","3","3","","","","","","","","2019-03-29","0"
"31","7","33","30","6","7","7","7","8","10","9","7","8","2019-04-12","0"
"36","10","38","35","6","8","10","10","11","14","12","10","11","2019-04-26","0"
"10","3","11","10","1","3","3","3","3","4","3","3","3","2019-05-10","0"
"26","7","28","26","4","6","7","7","8","10","9","9","9","2019-05-24","0"
"36","10","39","36","5","9","10","10","11","14","12","12","12","2019-06-07","0"
"36","10","39","36","5","9","10","10","11","14","12","12","12","2019-06-21","0"
"33","9","36","33","5","8","9","9","10","13","11","11","11","2019-07-05","0"
"33","9","36","33","5","8","9","9","10","13","11","11","11","2019-07-19","0"
"36","10","39","36","5","9","10","10","11","14","12","12","12","2019-08-02","0"
"33","9","36","33","5","8","9","9","10","13","11","11","11","2019-08-16","0"
"36","10","39","36","5","9","10","10","11","14","12","12","12","2019-08-30","0"
"33","9","36","33","5","8","9","9","10","13","11","11","11","2019-09-13","0"
"36","10","39","36","5","9","10","10","11","14","12","12","12","2019-09-27","0"
"39","11","42","39","5","10","11","11","12","15","13","13","13","2019-10-11","0"
"36","10","39","36","5","9","10","10","11","14","12","12","12","2019-10-25","0"
"28","8","31","28","4","7","8","8","9","11","9","9","9","2019-11-08","0"
"33","9","37","33","5","8","9","9","10","13","11","11","11","2019-11-22","0"
"39","11","43","39","5","10","11","11","12","15","13","13","13","2019-12-06","0"
"40","11","44","39","5","10","11","11","12","15","13","13","13","2019-12-20","0"
"41","11","44","39","5","10","11","11","12","16","14","13","13","2020-01-03","0"
"35","9","38","34","5","8","9","9","10","14","12","11","11","2020-01-17","0"
"38","10","41","37","5","9","10","10","11","15","13","12","12","2020-01-31","0"
"40","11","44","39","5","10","11","11","12","16","14","13","13","2020-02-14","0"
"37","10","40","36","5","9","10","10","11","14","12","12","12","2020-02-28","0"
"34","9","37","33","5","9","9","9","10","13","11","11","11","2020-03-13","0"
"37","10","41","36","5","10","10","10","11","14","12","12","12","2020-03-27","0"
"40","11","44","39","5","11","11","11","12","15","13","13","13","2020-04-10","0"
"34","9","38","33","5","9","9","9","10","13","11","11","11","2020-04-24","0"
"37","10","41","36","5","10","10","10","11","14","12","12","12","2020-05-08","0"
"34","9","38","33","5","9","9","9","10","13","11","11","11","2020-05-22","0"
"40","11","44","39","5","11","11","11","12","15","13","13","13","2020-06-05","0"
"37","10","41","36","5","10","10","10","11","14","12","12","12","2020-06-19","0"
"37","10","41","36","5","10","10","10","11","14","12","12","12","2020-07-03","0"
"34","9","38","33","5","9","9","9","10","13","11","11","11","2020-07-17","0"
"42","11","47","41","6","11","11","11","13","16","14","14","14","2020-07-31","0"
"37","10","41","36","5","10","10","10","11","14","12","12","12","2020-08-14","0"
