"19","492","597","date","other"
"19","19","19","2017-03-31","0"
"22","22","22","2017-04-14","0"
"22","22","22","2017-04-28","0"
"22","22","22","2017-05-12","0"
"22","23","23","2017-05-26","0"
"23","24","24","2017-06-09","0"
"23","24","24","2017-06-23","0"
"23","24","24","2017-07-07","0"
"21","22","22","2017-07-21","0"
"20","21","21","2017-08-04","0"
"20","21","21","2017-08-18","0"
"12","12","12","2017-09-01","0"
"16","17","17","2017-09-15","0"
"13","14","14","2017-09-29","0"
"16","17","17","2017-10-13","0"
"12","12","12","2017-10-27","0"
"16","17","17","2017-11-10","0"
"13","14","14","2017-11-24","0"
"12","12","12","2017-12-08","0"
"13","14","14","2017-12-22","0"
"13","14","14","2018-01-05","0"
"15","15","15","2018-01-19","0"
"12","12","12","2018-02-02","0"
"15","15","15","2018-02-16","0"
"16","17","17","2018-03-02","0"
"12","12","12","2018-03-16","0"
"12","12","12","2018-03-30","0"
"13","14","14","2018-04-13","0"
"23","24","24","2018-04-27","0"
"25","26","26","2018-05-11","0"
"23","24","24","2018-05-25","0"
"21","22","22","2018-06-08","0"
"23","24","24","2018-06-22","0"
"23","24","24","2018-07-06","0"
"23","24","24","2018-07-20","0"
"23","24","24","2018-08-03","0"
"23","24","24","2018-08-17","0"
"23","24","24","2018-08-31","0"
"23","24","24","2018-09-14","0"
"23","24","24","2018-09-28","0"
"23","24","24","2018-10-12","0"
"23","24","24","2018-10-26","0"
"23","24","24","2018-11-09","0"
"23","24","24","2018-11-23","0"
"23","24","24","2018-12-07","0"
"23","24","24","2018-12-21","0"
"23","24","24","2019-01-04","0"
"23","24","24","2019-01-18","0"
"23","24","24","2019-02-01","0"
"23","24","24","2019-02-15","0"
"23","24","24","2019-03-01","0"
"12","12","12","2019-03-15","0"
"7","7","7","2019-03-29","0"
"21","22","22","2019-04-12","0"
"23","24","24","2019-04-26","0"
"7","7","7","2019-05-10","0"
"17","18","21","2019-05-24","0"
"27","29","34","2019-06-07","0"
"24","25","30","2019-06-21","0"
"26","27","32","2019-07-05","0"
"22","24","28","2019-07-19","0"
"24","26","30","2019-08-02","0"
"24","26","30","2019-08-16","0"
"24","26","30","2019-08-30","0"
"22","24","28","2019-09-13","0"
"24","26","30","2019-09-27","0"
"24","26","30","2019-10-11","0"
"26","28","32","2019-10-25","0"
"22","24","28","2019-11-08","0"
"27","30","34","2019-11-22","0"
"24","26","30","2019-12-06","0"
"27","30","34","2019-12-20","0"
"27","30","34","2020-01-03","0"
"24","26","30","2020-01-17","0"
"39","42","46","2020-01-31","0"
"29","31","34","2020-02-14","0"
"36","39","43","2020-02-28","0"
"34","36","40","2020-03-13","0"
"36","39","43","2020-03-27","0"
"34","36","40","2020-04-10","0"
"32","33","37","2020-04-24","0"
"36","39","43","2020-05-08","0"
"32","33","37","2020-05-22","0"
"34","36","40","2020-06-05","0"
"34","36","40","2020-06-19","0"
"34","36","40","2020-07-03","0"
"29","31","34","2020-07-17","0"
"34","36","40","2020-07-31","0"
"34","36","40","2020-08-14","0"
"34","36","40","2020-08-28","0"
"32","33","37","2020-09-11","0"
"34","36","40","2020-09-25","0"
"36","39","43","2020-10-09","0"
"46","49","54","2020-10-23","0"
"34","36","40","2020-11-06","0"
"46","49","54","2020-11-20","0"
"44","46","51","2020-12-04","0"
"39","41","46","2020-12-18","0"
"39","41","46","2021-01-01","0"
"39","41","46","2021-01-15","0"
"41","44","49","2021-01-29","0"
"29","31","34","2021-02-12","0"
"36","39","43","2021-02-26","0"
"34","36","40","2021-03-12","0"
"34","36","40","2021-03-26","0"
"34","36","40","2021-04-09","0"
"34","36","40","2021-04-23","0"
"34","36","40","2021-05-07","0"
"34","36","40","2021-05-21","0"
