"597","12095","date","other"
"13","13","2020-09-09","0"
"23","22","2020-09-23","0"
"23","22","2020-10-07","0"
"20","19","2020-10-21","0"
"21","20","2020-11-04","0"
"31","30","2020-11-18","0"
"25","24","2020-12-02","0"
"23","22","2020-12-16","0"
"26","25","2020-12-30","0"
"23","22","2021-01-13","0"
"33","31","2021-01-27","0"
"13","13","2021-02-10","0"
"25","24","2021-02-24","0"
"23","22","2021-03-10","0"
"23","22","2021-03-24","0"
"23","22","2021-04-07","0"
"23","22","2021-04-21","0"
"23","22","2021-05-05","0"
