"113","122","128","date","other"
"22","19","21","2017-08-17","0"
"13","10","12","2017-08-31","0"
"15","12","14","2017-09-14","0"
"28","21","26","2017-09-28","0"
"19","15","18","2017-10-12","0"
"21","16","20","2017-10-26","0"
"21","16","20","2017-11-09","0"
"19","15","18","2017-11-23","0"
"15","12","14","2017-12-07","0"
"21","16","20","2017-12-21","0"
"19","15","18","2018-01-04","0"
"19","15","18","2018-01-18","0"
"19","15","18","2018-02-01","0"
"15","12","14","2018-02-15","0"
"21","16","20","2018-03-01","0"
"19","15","18","2018-03-15","0"
"6","5","6","2018-03-29","0"
"19","15","18","2018-04-12","0"
"30","23","28","2018-04-26","0"
"30","23","28","2018-05-10","0"
"30","23","28","2018-05-24","0"
"31","24","29","2018-06-07","0"
"31","24","29","2018-06-21","0"
"31","24","29","2018-07-05","0"
"31","24","29","2018-07-19","0"
"31","24","29","2018-08-02","0"
"31","24","29","2018-08-16","0"
"31","24","29","2018-08-30","0"
"31","24","29","2018-09-13","0"
"31","24","29","2018-09-27","0"
"31","24","29","2018-10-11","0"
"31","24","29","2018-10-25","0"
"31","24","29","2018-11-08","0"
"31","24","29","2018-11-22","0"
"31","24","29","2018-12-06","0"
"31","24","29","2018-12-20","0"
"31","24","29","2019-01-03","0"
"31","24","29","2019-01-17","0"
"31","24","29","2019-01-31","0"
"31","24","29","2019-02-14","0"
"31","24","29","2019-02-28","0"
"18","14","17","2019-03-14","0"
"7","5","6","2019-03-28","0"
"29","22","27","2019-04-11","0"
"31","24","29","2019-04-25","0"
"13","10","12","2019-05-09","0"
"20","15","19","2019-05-23","0"
"33","26","31","2019-06-06","0"
"29","22","27","2019-06-20","0"
"29","22","27","2019-07-04","0"
"33","26","31","2019-07-18","0"
"33","26","31","2019-08-01","0"
"24","19","23","2019-08-15","0"
"38","29","35","2019-08-29","0"
"31","24","29","2019-09-12","0"
"33","26","31","2019-09-26","0"
"31","24","29","2019-10-10","0"
"33","26","31","2019-10-24","0"
"31","24","29","2019-11-07","0"
"36","27","33","2019-11-21","0"
"32","24","29","2019-12-05","0"
"46","34","41","2019-12-19","0"
"32","24","29","2020-01-02","0"
"37","27","33","2020-01-16","0"
"34","26","31","2020-01-30","0"
"37","27","33","2020-02-13","0"
"30","22","27","2020-02-27","0"
"32","24","29","2020-03-12","0"
"32","24","29","2020-03-26","0"
"37","27","33","2020-04-09","0"
"30","22","27","2020-04-23","0"
"34","26","31","2020-05-07","0"
"30","22","27","2020-05-21","0"
"32","24","29","2020-06-04","0"
"32","24","29","2020-06-18","0"
"37","27","33","2020-07-02","0"
"30","22","27","2020-07-16","0"
"37","27","33","2020-07-30","0"
"27","21","25","2020-08-13","0"
"32","24","29","2020-08-27","0"
"41","31","37","2020-09-10","0"
"37","27","33","2020-09-24","0"
"32","24","29","2020-10-08","0"
"34","26","31","2020-10-22","0"
"46","34","41","2020-11-05","0"
"34","26","31","2020-11-19","0"
"46","34","41","2020-12-03","0"
"39","29","35","2020-12-17","0"
"30","22","27","2020-12-31","0"
"34","26","31","2021-01-14","0"
"41","31","37","2021-01-28","0"
"30","22","27","2021-02-11","0"
"34","26","31","2021-02-25","0"
"32","24","29","2021-03-11","0"
"32","24","29","2021-03-25","0"
"32","24","29","2021-04-08","0"
"32","24","29","2021-04-22","0"
"32","24","29","2021-05-06","0"
"32","24","29","2021-05-20","0"
