"84","809","8013","date","other"
"2","2","","2017-09-29","0"
"14","14","","2017-10-13","0"
"13","12","","2017-10-27","0"
"14","14","","2017-11-10","0"
"15","14","","2017-11-24","0"
"13","13","","2017-12-08","0"
"16","16","","2017-12-22","0"
"16","16","","2018-01-05","0"
"15","14","","2018-01-19","0"
"12","11","","2018-02-02","0"
"12","11","","2018-02-16","0"
"18","17","","2018-03-02","0"
"12","11","","2018-03-16","0"
"13","13","","2018-03-30","0"
"15","14","","2018-04-13","0"
"23","22","","2018-04-27","0"
"23","22","","2018-05-11","0"
"23","22","","2018-05-25","0"
"23","22","","2018-06-08","0"
"23","22","","2018-06-22","0"
"24","22","","2018-07-06","0"
"24","22","","2018-07-20","0"
"24","22","","2018-08-03","0"
"24","22","","2018-08-17","0"
"24","22","","2018-08-31","0"
"24","22","","2018-09-14","0"
"24","22","","2018-09-28","0"
"24","22","","2018-10-12","0"
"24","22","","2018-10-26","0"
"24","22","","2018-11-09","0"
"24","22","","2018-11-23","0"
"24","22","","2018-12-07","0"
"24","22","","2018-12-21","0"
"22","20","","2019-01-04","0"
"24","22","","2019-01-18","0"
"24","22","","2019-02-01","0"
"24","22","","2019-02-15","0"
"24","22","","2019-03-01","0"
"15","14","","2019-03-15","0"
"9","8","","2019-03-29","0"
"22","20","","2019-04-12","0"
"24","22","","2019-04-26","0"
"9","8","","2019-05-10","0"
"17","16","","2019-05-24","0"
"25","23","","2019-06-07","0"
"25","23","","2019-06-21","0"
"25","23","","2019-07-05","0"
"25","23","","2019-07-19","0"
"27","25","","2019-08-02","0"
"23","21","","2019-08-16","0"
"27","25","","2019-08-30","0"
"23","21","","2019-09-13","0"
"29","26","","2019-09-27","0"
"25","23","","2019-10-11","0"
"26","24","","2019-10-25","0"
"24","22","","2019-11-08","0"
"26","24","","2019-11-22","0"
"26","24","","2019-12-06","0"
"28","26","","2019-12-20","0"
"24","22","","2020-01-03","0"
"27","24","","2020-01-17","0"
"25","22","","2020-01-31","0"
"27","24","","2020-02-14","0"
"29","26","","2020-02-28","0"
"25","22","","2020-03-13","0"
"25","22","","2020-03-27","0"
"26","22","","2020-04-10","0"
"27","22","","2020-04-24","0"
"29","24","","2020-05-08","0"
"27","22","","2020-05-22","0"
"29","24","","2020-06-05","0"
"29","24","1","2020-06-19","0"
"33","27","6","2020-07-03","0"
"24","21","4","2020-07-17","0"
"30","26","5","2020-07-31","0"
"26","22","6","2020-08-14","0"
"28","24","6","2020-08-28","0"
"28","24","6","2020-09-11","0"
"28","24","6","2020-09-25","0"
"30","26","6","2020-10-09","0"
"26","22","6","2020-10-23","0"
"28","24","6","2020-11-06","0"
"34","29","7","2020-11-20","0"
"28","24","6","2020-12-04","0"
"26","22","6","2020-12-18","0"
"28","24","6","2021-01-01","0"
"32","27","7","2021-01-15","0"
"31","26","7","2021-01-29","0"
"29","24","7","2021-02-12","0"
"31","26","8","2021-02-26","0"
"29","24","7","2021-03-12","0"
"29","24","7","2021-03-26","0"
"29","24","7","2021-04-09","0"
"29","24","7","2021-04-23","0"
"29","24","7","2021-05-07","0"
"29","24","7","2021-05-21","0"
