code,tag
492,Indie
19,Action
1003823,Low Confidence Metric
597,Casual
21,Adventure
4182,Singleplayer
599,Simulation
9,Strategy
122,RPG
3871,2D
4166,Atmospheric
1664,Puzzle
113,Free to Play
493,Early Access
3859,Multiplayer
1742,Story Rich
1684,Fantasy
3964,Pixel Graphics
4667,Violent
4085,Anime
3839,First-Person
4305,Colorful
4191,3D
6650,Nudity
4726,Cute
1773,Arcade
4136,Funny
12095,Sexual Content
1756,Great Soundtrack
21978,VR
3942,Sci-fi
3834,Exploration
1774,Shooter
4345,Gore
1667,Horror
1625,Platformer
4004,Retro
4026,Difficult
5350,Family Friendly
701,Sports
1654,Relaxing
1695,Open World
7208,Female Protagonist
1662,Survival
1685,Co-op
3799,Visual Novel
699,Racing
1719,Comedy
1663,FPS
4106,Action-Adventure
128,Massively Multiplayer
1697,Third Person
1677,Turn-Based
3810,Sandbox
3843,Online Co-Op
4175,Realistic
3968,Physics
4252,Stylized
4791,Top-Down
1698,Point & Click
1775,PvP
6426,Choices Matter
1755,Space
5716,Mystery
4094,Minimalist
4195,Cartoony
12472,Management
65443,Adult Content
1721,Psychological Horror
1643,Building
4342,Dark
5379,2D Platformer
3798,Side Scroller
1708,Tactical
7368,Local Multiplayer
4711,Replay Value
6971,Multiple Endings
84,Design & Illustration
7481,Controller
4747,Character Customization
5537,Puzzle-Platformer
3916,Old School
3993,Combat
4255,Shoot 'Em Up
6815,Hand-drawn
4231,Action RPG
1741,Turn-Based Strategy
1036,Education
1716,Rogue-like
10695,Party-Based RPG
8013,Software
3841,Local Co-Op
3978,Survival Horror
5125,Procedural Generation
87,Utilities
5611,Mature
4057,Magic
1693,Classic
3959,Rogue-lite
1702,Crafting
7250,Linear
1659,Zombies
4295,Futuristic
4434,JRPG
1734,Fast-Paced
1738,Hidden Object
4325,Turn-Based Combat
4234,Short
6730,PvE
4172,Medieval
3987,Historical
4700,Movie
4562,Cartoon
1678,War
5395,3D Platformer
1646,Hack and Slash
6129,Logic
8945,Resource Management
4885,Bullet Hell
4947,Romance
14139,Turn-Based Tactics
4486,Choose Your Own Adventure
5577,RPGMaker
1038,Web Publishing
10397,Memes
5900,Walking Simulator
11014,Interactive Fiction
1676,RTS
1687,Stealth
13782,Experimental
5984,Drama
3835,Post-apocalyptic
1720,Dungeon Crawler
4604,Dark Fantasy
9551,Dating Sim
7332,Base Building
5851,Isometric
1710,Surreal
4637,Top-Down Shooter
1621,Music
1743,Fighting
5154,Score Attack
1666,Card Game
4168,Military
4115,Cyberpunk
31275,Text-Based
1644,Driving
3814,Third-Person Shooter
7948,Soundtrack
6691,1990's
4840,4 Player Local
5094,Narration
4400,Abstract
5752,Robots
15045,Flight
1770,Board Game
1645,Tower Defense
5411,Beautiful
4975,2.5D
3878,Competitive
4695,Economy
9130,Hentai
42804,Action Roguelike
44868,LGBTQ+
7743,1980s
5923,Dark Humor
5613,Detective
1673,Aliens
4328,City Builder
1759,Perma Death
8369,Investigation
5608,Emotional
30358,Nature
9204,Immersive Sim
17389,Tabletop
1628,Metroidvania
5711,Team-Based
5547,Arena Shooter
16689,Time Management
4158,Beat 'em up
24904,NSFW
379975,Clicker
4145,Cinematic
1669,Moddable
3955,Character Action Game
3877,Precision Platformer
3813,Real Time Tactics
872,Animation & Modeling
17305,Strategy RPG
4064,Thriller
5186,Psychological
4684,Wargame
1100687,Automobile Sim
10235,Life Sim
8122,Level Editor
1714,Psychedelic
15172,Conversation
12057,Tutorial
4758,Twin Stick Shooter
21725,Tactical RPG
5363,Destruction
4150,World War II
1027,Audio Production
9541,Demons
6378,Crime
5673,Modern
5030,Dystopian 
8666,Runner
1752,Rhythm
13906,Game Development
4364,Grand Strategy
4598,Alternate History
6869,Nonlinear
1751,Comic Book
4736,2D Fighter
4236,Loot
1665,Match 3
4036,Parkour
3854,Lore-Rich
16598,Space Sim
10808,Supernatural
6276,Inventory Management
1754,MMORPG
19995,Dark Comedy
1100689,Open World Survival Craft
5794,Science
4190,Addictive
784,Video Production
29482,Souls-like
11123,Mouse only
10816,Split Screen
7926,Artificial Intelligence
4242,Episodic
4474,CRPG
7569,Grid-Based Movement
7432,Lovecraftian
16094,Mythology
1445,Software Training
4161,Real-Time
15277,Philosophical
6052,Noir
791774,Card Battler
5228,Blood
1732,Voxel
32322,Deckbuilding
4608,Swordplay
17894,Cats
176981,Battle Royale
1777,Steampunk
5652,Collectathon
5055,e-sports
4046,Dragons
4821,Mechs
4835,6DOF
7782,Cult Classic
220585,Colony Sim
13276,Tanks
4853,Political
1670,4X
4878,Parody 
1681,Pirates
615955,Idler
5796,Bullet Time
11104,Vehicular Combat
4508,Co-op Campaign
1616,Trains
1717,Hex Grid
6625,Time Manipulation
6506,3D Fighter
24003,Word Game
87918,Farming Sim
29363,3D Vision
1651,Satire
1688,Ninja
4155,Class-Based
5502,Hacking
809,Photo Editing
4845,Capitalism
4202,Trading
9564,Hunting
7107,Real-Time with Pause
13190,America
3952,Gothic
31579,Otome
5708,Remake
5765,Gun Customization
13070,Solitaire
1647,Western
198631,Mystery Dungeon
5981,Mining
10679,Time Travel
18594,FMV
22602,Agriculture
6910,Naval
1718,MOBA
5300,God Game
4102,Combat Racing
4754,Politics
5160,Dinosaurs
255534,Automation
5432,Programming
14153,Dungeons & Dragons
620519,Hero Shooter
9157,Underwater
6915,Martial Arts
5372,Conspiracy
25085,Touch-Friendly
1649,GameMaker
7478,Illuminati
4777,Spectacle fighter
21006,Underground
5153,Kickstarter
1730,Sokoban
1671,Superhero
9271,Trading Card Game
15564,Fishing
1638,Dog
5179,Cold War
9592,Dynamic Narration
26921,Political Sim
9994,Experience
4018,Vampire
15339,Documentary
8093,Minigames
180368,Faith
353880,Looter Shooter
916648,Creature Collector
4559,Quick-Time Events
4376,Assassin
5390,Time Attack
1680,Heist
4994,Naval Combat
1679,Soccer
8253,Music-Based Procedural Generation
7226,Football
17770,Asynchronous Multiplayer
7702,Narrative
7178,Party Game
56690,On-Rails Shooter
1674,Typing
13382,Archery
10383,Transportation
6310,Diplomacy
7108,Party
4184,Chess
5348,Mod
3965,Epic
3934,Immersive
13577,Sailing
11333,Villain Proonist
8075,TrackIR
1084988,Auto Battler
10437,Trivia
7622,Offroad
9803,Snow
6041,Horses
7113,Crowdfunded
5230,Sequel
776177,360 Video
6702,Mars
150626,Gaming
6621,Pinball
5382,World War I
7423,Sniper
3796,Based On A Novel
15954,Silent Proonist
51306,Foreign
3920,Cooking
16250,Gambling
12286,Warhammer 40K
5310,Games Workshop
12190,Boxing
454187,Traditional Roguelike
1736,LEGO
1091588,Roguelike Deckbuilder
6948,Rome
4137,Transhumanism
17015,Werewolves
198913,Motorbike
1733,Unforgiving
1100688,Medical Sim
7038,Golf
61357,Electronic Music
29855,Ambient
14720,Nostalgia
4520,Farming
123332,Bikes
1100686,Outbreak Sim
71389,Spelling
856791,Asymmetric VR
1746,Basketball
92092,Jet
19780,Submarine
922563,Roguevania
22955,Mini Golf
745697,Social Deduction
1723,Action RTS
4291,Spaceships
14906,Intentionally Awkward Controls
17927,Pool
17337,Lemmings
5727,Baseball
47827,Wrestling
5914,Tennis
189941,Instrumental Music
324176,Hockey
15868,Motocross
233824,Feature Film
1753,Skateboarding
5407,Benchmark
27758,Voice Control
96359,Skating
337964,Rock Music
19568,Cycling
7328,Bowling
143739,Electronic
603297,Hardware
7309,Skiing
129761,ATV
8461,Well-Written
28444,Snowboarding
117648,8-bit Music
5941,Reboot
348922,Steam Machine
252854,BMX
